date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:44	5350/5350	---M--	200	added ('OK')	image/jpeg	etag:%22197be20be44f1dd916dc495621fc792d%22	https://static.wixstatic.com/media/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg/v1/fill/w_192,h_108,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg/v1/fill/w_192,h_108,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg	(from https://leilakzaki.wixsite.com/qawam)
14:40:45	5269/5269	---M--	200	added ('OK')	image/png	etag:%223975b654d63bc489dc85404f99710e90%22	http://static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939~mv2.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939_mv2.png	(from https://leilakzaki.wixsite.com/qawam)
14:40:46	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202019%2012:40:46%20GMT	https://leilakzaki.wixsite.com/qawam/robots.txt	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/qawam/robots.txt	(from https://leilakzaki.wixsite.com/qawam/contact)
14:40:47	5278/5278	---MCZ	200	added ('OK')	text/xml	date:Wed,%2024%20Apr%202019%2012:40:46	https://leilakzaki.wixsite.com/qawam/sitemap.xml	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/qawam/sitemap.xml	(from https://leilakzaki.wixsite.com/qawam/contact)
14:40:47	2934/2934	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Apr%202019%2012:40:47%20GMT	https://leilakzaki.wixsite.com/qawam/feed.xml	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/leilakzaki.wixsite.com/qawam/feed.xml	(from https://leilakzaki.wixsite.com/qawam/contact)
14:40:53	127764/127764	---M--	200	added ('OK')	image/png	etag:%2213138b9742c70221bcea2b1359266be6%22	https://static.wixstatic.com/media/38567b0b5eb55f8eba96f60fa6356630.png/v1/crop/x_0,y_133,w_423,h_158,blur_5/38567b0b5eb55f8eba96f60fa6356630.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/38567b0b5eb55f8eba96f60fa6356630.png/v1/crop/x_0,y_133,w_423,h_158,blur_5/38567b0b5eb55f8eba96f60fa6356630.png	(from https://leilakzaki.wixsite.com/qawam/contact)
14:40:56	131118/131118	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ac12f17545335bb23f7e73cc10e0d47c%22	https://static.parastorage.com/services/wix-bolt/1.2345.0/bolt-main/app/main-r.min.js	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/wix-bolt/1.2345.0/bolt-main/app/main-r.min.js	(from https://leilakzaki.wixsite.com/qawam/aaraa-alhalat)
14:40:58	12669/12669	---M-Z	200	added ('OK')	text/css	etag:W/%223315e49dce769d618287be7dd590e2a7%22	https://static.parastorage.com/services/wix-bolt/1.2345.0/node_modules/wix-santa/static/css/viewer.min.css	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.parastorage.com/services/wix-bolt/1.2345.0/node_modules/wix-santa/static/css/viewer.min.css	(from https://leilakzaki.wixsite.com/qawam/aaraa-alhalat)
14:41:01	23196/23196	---M--	200	added ('OK')	image/jpeg	etag:%227d51f430911336457ee360cdad86f2bd%22	https://static.wixstatic.com/media/d532b29bc0c448b29f47672da7b07613.jpg/v1/fill/w_480,h_320,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d532b29bc0c448b29f47672da7b07613.jpg	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/d532b29bc0c448b29f47672da7b07613.jpg/v1/fill/w_480,h_320,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d532b29bc0c448b29f47672da7b07613.jpg	(from https://leilakzaki.wixsite.com/qawam/aaraa-alhalat)
14:41:03	5561/5561	---M--	200	added ('OK')	image/jpeg	etag:%225a7b68f567109c65fa30c2f12a8e0925%22	https://static.wixstatic.com/media/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg/v1/fill/w_200,h_113,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg/v1/fill/w_200,h_113,al_c,q_80,usm_0.66_1.00_0.01,blur_2/11062b_2042bb7351284f0f982e4787d37415e6f000.jpg	(from https://leilakzaki.wixsite.com/qawam/aaraa-alhalat)
14:41:06	8021/8021	---M--	200	added ('OK')	image/PNG	etag:%222f4cd5507f52040d6c58125ad6c8a54c8021%22	https://static.wixstatic.com/media/3aecc9_6f241e836d794708ad68595767265c75~mv2.png/v1/fill/w_80,h_45,al_c,usm_0.66_1.00_0.01,blur_2/3aecc9_6f241e836d794708ad68595767265c75~mv2.png	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/3aecc9_6f241e836d794708ad68595767265c75_mv2.png/v1/fill/w_80,h_45,al_c,usm_0.66_1.00_0.01,blur_2/3aecc9_6f241e836d794708ad68595767265c75_mv2.png	(from https://leilakzaki.wixsite.com/qawam/services)
14:41:06	30066/30066	---M--	200	added ('OK')	image/JPEG	etag:%228ef0884ad41cca222a483913aa45429530066%22	https://static.wixstatic.com/media/3aecc9_587802467e4a4d52a8428a6f6ef47b8e~mv2_d_2500_1500_s_2.jpg/v1/fill/w_90,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2/3aecc9_587802467e4a4d52a8428a6f6ef47b8e~mv2_d_2500_1500_s_2.jpg	C:/Users/Abanoub%20Maher/Desktop/tes1%20-%20Copy/test/static.wixstatic.com/media/3aecc9_587802467e4a4d52a8428a6f6ef47b8e_mv2_d_2/v1/fill/w_90,h_54,al_c,q_80,usm_0.66_1.00_0.01,blur_2/3aecc9_587802467e4a4d52a8428a6f6ef47b8e_mv2_d_2500_1500_s_2	(from https://leilakzaki.wixsite.com/qawam/blog)
